"question","answer","Questions","Answers","questions","answers"
"What happens if taxpayer does not reply to refund SCN?","If no reply is filed, the officer may reject the refund claim through an ex-parte order.","","","",""
"Can a taxpayer appeal against refund rejection?","Yes, taxpayer can file an appeal against refund rejection order within the prescribed time limit.","","","",""
"What is the time limit for filing appeal under GST?","Appeal must generally be filed within 3 months from the date of communication of the order.","","","",""
"Which form is used to file GST appeal?","Appeal is filed in Form GST APL-01 before the Appellate Authority.","","","",""
"What is the role of Appellate Authority in GST?","Appellate Authority reviews the order passed by adjudicating officer and may confirm, modify, or annul it.","","","",""
"Is pre-deposit required for filing GST appeal?","Yes, taxpayer must pay the admitted amount plus prescribed percentage of disputed tax as pre-deposit.","","","",""
"What is the pre-deposit amount for GST appeal?","Generally, 10% of the disputed tax amount must be deposited for filing appeal.","","","",""
"Can refund be refiled after rejection?","Refund application cannot be refiled for same period, but taxpayer may correct issues and file appeal.","","","",""
"What is unjust enrichment in GST refund?","Unjust enrichment means refund is not granted if tax burden has been passed on to another person.","","","",""
"Is unjust enrichment applicable for export refunds?","No, unjust enrichment does not apply to refunds arising from zero-rated supplies like exports.","","","",""
"What is refund adjustment against outstanding demand?","Refund may be adjusted against any pending GST demand or tax liability before being paid to taxpayer.","","","",""
"What is the role of CA in refund litigation?","CAs assist in documentation, reconciliation, drafting replies, filing appeals, and representing clients in disputes.","","","",""
"Can interest be claimed on delayed refund?","Yes, interest is payable if refund is not processed within 60 days from the date of complete application.","","","",""
"What is the rate of interest on delayed GST refund?","Interest is generally payable at the rate notified under GST law, usually 6% per annum.","","","",""
"What happens when refund is partially sanctioned?","Officer may sanction eligible portion and reject the balance through a speaking order.","","","",""
"What is the importance of refund reconciliation?","Reconciliation ensures refund claim matches returns, invoices, and ITC records, reducing chances of rejection.","","","",""
"What documents are crucial for export refund claims?","Key documents include shipping bills, export invoices, LUT/Bond, and BRC/FIRC proof of foreign remittance.","","","",""
"What is LUT in GST refunds?","LUT is a Letter of Undertaking filed to export goods or services without payment of IGST and claim ITC refund.","","","",""
"Can refund be rejected due to GSTR-1 and GSTR-3B mismatch?","Yes, mismatch between outward supplies reported in returns can lead to refund rejection.","","","",""
"Why is appeal process important for GST refunds?","Appeals provide taxpayers legal remedy against wrongful rejection and help recover eligible refund amounts.","","","",""
"What is Place of Supply under GST?","Place of Supply is the location where a supply of goods or services is considered to be made for determining the type of GST applicable.","","","",""
"Why is Place of Supply important in GST?","It determines whether a transaction is intra-state or inter-state and whether CGST+SGST or IGST will be charged.","","","",""
"Which law governs Place of Supply provisions?","Place of Supply provisions are governed under the IGST Act, 2017.","","","",""
"What is intra-state supply?","Intra-state supply occurs when the location of supplier and place of supply are in the same state, attracting CGST and SGST.","","","",""
"What is inter-state supply?","Inter-state supply occurs when the supplier and place of supply are in different states or countries, attracting IGST.","","","",""
"What is the general rule for Place of Supply of goods?","Place of supply of goods is generally the location where movement of goods terminates for delivery to the recipient.","","","",""
"What is Place of Supply when goods are supplied without movement?","If goods are supplied without movement, place of supply is the location of goods at the time of delivery.","","","",""
"What is Place of Supply for goods delivered on direction of third person?","Place of supply is the principal place of business of the third person who directs delivery.","","","",""
"What is Place of Supply for goods imported into India?","Place of supply for imported goods is the location of the importer in India.","","","",""
"What is Place of Supply for goods exported outside India?","Place of supply for exported goods is the location outside India, treated as zero-rated supply.","","","",""
"What is the general rule for Place of Supply of services to registered persons?","Place of supply is the location of the recipient when the recipient is a registered person.","","","",""
"What is Place of Supply of services to unregistered persons?","Place of supply is the address of recipient on record, otherwise the location of supplier.","","","",""
"What is Place of Supply for services related to immovable property?","Place of supply is the location of the immovable property, such as hotel accommodation or construction services.","","","",""
"What is Place of Supply for restaurant and catering services?","Place of supply is the location where the services are actually performed.","","","",""
"What is Place of Supply for event-related services?","Place of supply is the location where the event is actually held.","","","",""
"What is Place of Supply for transportation of goods services?","For registered recipient, place is recipient location; for unregistered, place is where goods are handed over for transport.","","","",""
"What is Place of Supply for passenger transportation services?","For registered recipient, place is recipient location; for unregistered, place is where passenger embarks on conveyance.","","","",""
"What is Place of Supply for banking and financial services?","Place of supply is the location of recipient as per supplier’s records, otherwise location of supplier.","","","",""
"What is Place of Supply for insurance services?","For registered person, place is recipient location; for unregistered, place is address on record.","","","",""
"What is Place of Supply for advertisement services to government?","Place of supply is the location of the government authority receiving the service.","","","",""
"What is Place of Supply for telecom services?","Place of supply depends on nature of service, such as billing address for postpaid or location of recharge for prepaid.","","","",""
"What is Place of Supply for online information and database access services (OIDAR)?","Place of supply is the location of the recipient of service, especially for cross-border digital services.","","","",""
"What is Place of Supply for export of services?","Export of services occurs when supplier is in India, recipient outside India, payment in foreign currency, and place of supply outside India.","","","",""
"What is Place of Supply for import of services?","Import of services occurs when supplier is outside India, recipient in India, and place of supply is in India.","","","",""
"Why is Place of Supply critical for CA professionals?","Correct determination avoids wrong tax payment, prevents notices, ensures proper IGST vs CGST/SGST compliance, and supports audits.","","","",""
"What is a penalty under GST?","Penalty under GST is a monetary punishment imposed for non-compliance with GST provisions such as late filing, tax evasion, or wrong ITC claims.","","","",""
"Which section covers general penalty under GST?","Section 125 of CGST Act covers general penalty for offences where no specific penalty is prescribed.","","","",""
"What is the maximum general penalty under Section 125?","General penalty can extend up to Rs. 25,000 under GST.","","","",""
"What are offences under GST?","Offences are violations like supplying without invoice, issuing fake invoices, wrongful ITC claim, or collecting tax but not paying to government.","","","",""
"Which section deals with offences and penalties under GST?","Section 122 of CGST Act deals with offences and penalties for taxable persons.","","","",""
"What is penalty for supplying goods without invoice?","Penalty is Rs. 10,000 or amount of tax evaded, whichever is higher.","","","",""
"What is penalty for issuing fake invoices?","Issuing fake invoices attracts penalty equal to tax evaded and may also lead to prosecution.","","","",""
"What is penalty for wrongful ITC claim?","Wrongful ITC claim attracts penalty equal to tax amount and interest, especially if fraud is involved.","","","",""
"What is penalty for collecting GST but not depositing it?","Penalty is equal to tax collected and not paid, along with interest and possible prosecution.","","","",""
"What is the penalty for failure to register under GST?","Penalty is Rs. 10,000 or tax due, whichever is higher, for liable persons not registered.","","","",""
"What is the penalty for late filing of GST returns?","Late fee is charged per day of delay subject to maximum limits, along with interest on tax liability.","","","",""
"What is the interest rate for delayed GST payment?","Interest is generally payable at 18% per annum on delayed tax payment.","","","",""
"What is the penalty for not issuing e-invoice when applicable?","Invoice may be treated invalid and penalty may apply under Section 122 for non-compliance.","","","",""
"What is penalty for transporting goods without e-way bill?","Penalty includes tax plus 100% penalty or detention of goods under Section 129.","","","",""
"What is Section 129 under GST?","Section 129 deals with detention, seizure, and release of goods and conveyance during transit violations.","","","",""
"What is Section 130 under GST?","Section 130 deals with confiscation of goods and conveyance and levy of penalty in serious offences.","","","",""
"What is the penalty for fraud under GST?","Penalty is equal to 100% of tax evaded and prosecution may apply depending on amount involved.","","","",""
"What is the difference between fraud and non-fraud cases in GST penalty?","Fraud cases involve intention to evade tax and attract higher penalties, whereas non-fraud cases have lower penalties.","","","",""
"What is Section 73 under GST?","Section 73 covers demand for tax not paid or short paid without fraud or wilful misstatement.","","","",""
"What is Section 74 under GST?","Section 74 covers demand for tax not paid or short paid due to fraud, suppression, or wilful misstatement.","","","",""
"What is penalty under Section 74?","Penalty under Section 74 can be equal to tax amount, with reduced penalty if paid early.","","","",""
"Can penalty be reduced under GST?","Yes, penalties can be reduced if tax and interest are paid before issuance of notice or within prescribed time.","","","",""
"What is prosecution under GST?","Prosecution refers to criminal proceedings for serious GST offences like fake invoicing or large-scale tax evasion.","","","",""
"When does GST prosecution apply?","Prosecution applies when tax evasion exceeds prescribed threshold limits and offence is intentional.","","","",""
"Why are GST penalties important for CA professionals?","CAs must ensure compliance, prevent client exposure to heavy penalties, handle notices, and support litigation management.","","","",""
"What is GST demand?","GST demand is a tax liability raised by the department when tax is unpaid, short paid, wrongly refunded, or ITC is wrongly claimed.","","","",""
"Which sections deal with GST demand?","GST demand is mainly covered under Sections 73 and 74 of the CGST Act.","","","",""
"What is the difference between Section 73 and Section 74?","Section 73 applies to non-fraud cases, while Section 74 applies to fraud, wilful misstatement, or suppression cases.","","","",""
"What is a GST show cause notice (SCN)?","SCN is a notice issued by the department asking taxpayer to explain why tax demand should not be confirmed.","","","",""
"Which form is used for GST demand notice?","Demand notice is generally issued in Form GST DRC-01.","","","",""
"What is Form GST DRC-02?","DRC-02 is a summary of the show cause notice electronically uploaded on GST portal.","","","",""
"What is Form GST DRC-03?","DRC-03 is used for voluntary payment of tax, interest, and penalty before or after notice.","","","",""
"What is Form GST DRC-06?","DRC-06 is the acknowledgement issued after payment made through DRC-03.","","","",""
"What is Form GST DRC-07?","DRC-07 is the summary of the final order confirming demand issued by GST officer.","","","",""
"What is the time limit for issuing demand under Section 73?","Order must be issued within 3 years from the due date of annual return for the relevant financial year.","","","",""
"What is the time limit for issuing demand under Section 74?","Order must be issued within 5 years from the due date of annual return due to fraud involvement.","","","",""
"Can taxpayer pay demand before SCN is issued?","Yes, taxpayer can voluntarily pay tax with interest to avoid further proceedings.","","","",""
"What happens if tax is paid before SCN under Section 73?","No notice will be issued if tax and interest are paid before SCN in non-fraud cases.","","","",""
"What is GST recovery process?","Recovery process is the mechanism used by department to collect confirmed demand if taxpayer does not pay.","","","",""
"Which section covers recovery of GST dues?","Section 79 of CGST Act covers recovery of tax dues.","","","",""
"What are modes of GST recovery?","Recovery can be through deduction from refunds, bank account attachment, property sale, or notice to debtors.","","","",""
"What is bank account attachment under GST?","GST authorities may attach taxpayer’s bank account to recover unpaid dues under Section 79.","","","",""
"What is provisional attachment under GST?","Provisional attachment under Section 83 allows department to attach property during pendency of proceedings to protect revenue.","","","",""
"Can GST demand be paid in installments?","Yes, Commissioner may allow payment in installments under Section 80 subject to conditions.","","","",""
"What is the role of interest in GST demand?","Interest is payable on delayed tax payment and becomes part of demand liability.","","","",""
"What is the penalty component in GST demand?","Penalty depends on whether demand is under Section 73 (lower) or Section 74 (higher for fraud).","","","",""
"Can taxpayer appeal against GST demand order?","Yes, taxpayer can file appeal before Appellate Authority using Form GST APL-01.","","","",""
"What is the pre-deposit requirement for demand appeal?","Taxpayer must pay admitted amount plus 10% of disputed tax as pre-deposit.","","","",""
"What happens if demand is not paid after final order?","Department can initiate recovery proceedings such as attachment, auction, or deduction from refunds.","","","",""
"Why is GST demand management important for CA professionals?","CAs handle notices, draft replies, ensure compliance, manage litigation, and protect clients from heavy recovery actions.","","","",""
"What is the importance of DRC forms in GST compliance?","DRC forms are official documents for demand, payment, recovery, and appeal tracking under GST law.","","","",""
"What is GST audit?","GST audit is the examination of records, returns, and compliance to verify correctness of turnover, tax paid, refunds claimed, and ITC availed.","","","",""
"Which section covers GST audit by tax authorities?","GST audit by tax authorities is covered under Section 65 of the CGST Act.","","","",""
"What is departmental audit under GST?","Departmental audit is an audit conducted by GST officers to verify compliance and correctness of tax payments.","","","",""
"Who can conduct GST audit under Section 65?","GST audit under Section 65 can be conducted by Commissioner or any authorized GST officer.","","","",""
"What is the notice period for GST audit?","Taxpayer must be informed at least 15 working days before audit begins through Form GST ADT-01.","","","",""
"What is Form GST ADT-01?","Form GST ADT-01 is the audit notice issued by department to initiate GST audit proceedings.","","","",""
"What is Form GST ADT-02?","Form GST ADT-02 is the audit findings report issued after completion of departmental audit.","","","",""
"What is the time limit to complete GST audit?","Audit must be completed within 3 months from the date of commencement, extendable up to 6 months.","","","",""
"What is the commencement date of audit?","Audit is deemed to commence from the date records are made available to audit authorities.","","","",""
"What records are checked during GST audit?","Records include sales invoices, purchase invoices, ITC registers, returns, e-way bills, and financial statements.","","","",""
"What is GST special audit?","Special audit is conducted by a Chartered Accountant or Cost Accountant nominated by Commissioner under Section 66.","","","",""
"When is special audit ordered?","Special audit is ordered when officer believes taxpayer’s value declared or ITC claimed is not correct.","","","",""
"Who bears the cost of special audit?","The cost of special audit is borne by the Government, not by the taxpayer.","","","",""
"What is assessment under GST?","Assessment is the process of determining tax liability under GST law for a taxpayer.","","","",""
"What is self-assessment under GST?","Self-assessment means taxpayer determines and pays tax himself through filing GST returns.","","","",""
"Which section covers self-assessment?","Self-assessment is covered under Section 59 of the CGST Act.","","","",""
"What is provisional assessment under GST?","Provisional assessment is allowed when taxpayer cannot determine correct value or tax rate, covered under Section 60.","","","",""
"What is required for provisional assessment?","Taxpayer must file an application in Form GST ASMT-01 requesting provisional assessment.","","","",""
"What is Form GST ASMT-02?","ASMT-02 is notice issued by officer seeking additional information for provisional assessment.","","","",""
"What is Form GST ASMT-03?","ASMT-03 is reply submitted by taxpayer to officer’s query in provisional assessment proceedings.","","","",""
"What is Form GST ASMT-04?","ASMT-04 is the provisional assessment order issued by officer.","","","",""
"What is the time limit for final assessment?","Final assessment must be completed within 6 months, extendable further by Commissioner.","","","",""
"What is best judgment assessment under GST?","Best judgment assessment is assessment done by officer when taxpayer fails to file returns or cooperate.","","","",""
"Which section covers best judgment assessment for non-filers?","Section 62 covers best judgment assessment for non-filers of returns.","","","",""
"Which section covers assessment of unregistered persons?","Section 63 covers best judgment assessment for unregistered persons liable for registration.","","","",""
"Why is GST audit important for CA professionals?","CAs help clients maintain records, handle departmental audits, reply to notices, and reduce litigation risk.","","","",""
"What is Input Tax Credit (ITC) under GST?","ITC means credit of GST paid on purchases which can be used to reduce GST liability on sales.","","","",""
"Why is ITC important in GST?","ITC avoids cascading effect of taxes and ensures tax is levied only on value addition.","","","",""
"Which section governs ITC eligibility?","ITC eligibility is governed under Section 16 of the CGST Act.","","","",""
"What are the basic conditions to claim ITC?","Taxpayer must have a tax invoice, receive goods/services, supplier must pay tax, and return must be filed.","","","",""
"Can ITC be claimed without invoice?","No, ITC cannot be claimed without a valid tax invoice or prescribed document.","","","",""
"Is ITC available on goods received in installments?","ITC can be claimed only after receipt of the last lot or installment of goods.","","","",""
"Can ITC be claimed if supplier has not filed return?","No, ITC is restricted if supplier has not furnished outward supply details properly.","","","",""
"What is the time limit to claim ITC?","ITC must be claimed before 30th November of next financial year or filing of annual return, whichever is earlier.","","","",""
"What is provisional ITC?","Provisional ITC refers to credit temporarily available subject to matching with supplier’s filings.","","","",""
"What is GSTR-2B in ITC context?","GSTR-2B is an auto-generated statement showing eligible and ineligible ITC for a taxpayer.","","","",""
"Can ITC be claimed on GST paid under reverse charge?","Yes, ITC can be claimed on reverse charge tax after payment, subject to conditions.","","","",""
"What is blocked credit under GST?","Blocked credit refers to ITC that is not allowed even if GST is paid, covered under Section 17(5).","","","",""
"Which section lists blocked credits?","Blocked credits are listed under Section 17(5) of the CGST Act.","","","",""
"Is ITC available on motor vehicles?","ITC on motor vehicles is blocked unless used for transport business, training, or further supply.","","","",""
"Is ITC allowed on food and beverages?","No, ITC on food, beverages, catering is blocked unless used for providing the same category of service.","","","",""
"Can ITC be claimed on membership of clubs?","No, ITC on club, health, fitness membership is blocked credit.","","","",""
"Is ITC available on personal expenses?","No, ITC is not allowed on goods or services used for personal consumption.","","","",""
"Can ITC be claimed on construction of immovable property?","No, ITC on works contract for construction of immovable property is blocked except for further supply of works contract service.","","","",""
"Is ITC allowed on goods lost or destroyed?","No, ITC is not available on goods lost, stolen, destroyed, written off, or disposed of as free samples.","","","",""
"What is ITC reversal under GST?","ITC reversal means credit must be reduced if conditions are not met or goods are used for exempt supplies.","","","",""
"When is ITC reversed for non-payment to supplier?","If payment is not made within 180 days from invoice date, ITC must be reversed with interest.","","","",""
"What is common credit under GST?","Common credit refers to ITC used for both taxable and exempt supplies, requiring proportionate reversal.","","","",""
"How is ITC treated for exempt supplies?","ITC attributable to exempt supplies must be reversed as per Rule 42 and Rule 43.","","","",""
"Can ITC be claimed by composition dealer?","No, composition scheme taxpayers are not eligible to claim ITC.","","","",""
"Why should CA professionals focus on ITC compliance?","ITC is the most litigated GST area, and proper reconciliation and eligibility checks reduce demand notices.","","","",""
"What is GST refund?","GST refund means return of excess tax paid or unutilized ITC to the taxpayer under GST law.","","","",""
"Which section governs GST refunds?","GST refunds are governed under Section 54 of the CGST Act.","","","",""
"Who can apply for GST refund?","Any registered person who has paid excess tax or has unutilized ITC can apply for refund.","","","",""
"What are the common types of GST refunds?","Refunds include excess tax payment, export refund, unutilized ITC, inverted duty structure, and wrong tax payment.","","","",""
"What is unutilized ITC refund?","Unutilized ITC refund means refund of input tax credit that cannot be used against output tax liability.","","","",""
"When is refund of unutilized ITC allowed?","Refund is allowed in case of zero-rated supplies or inverted duty structure.","","","",""
"What are zero-rated supplies under GST?","Zero-rated supplies include exports of goods/services and supplies to SEZ units or developers.","","","",""
"Which section covers zero-rated supplies?","Zero-rated supplies are covered under Section 16 of the IGST Act.","","","",""
"What is LUT under GST?","LUT means Letter of Undertaking filed to export goods/services without payment of IGST.","","","",""
"Who can file LUT?","Any registered exporter can file LUT if not prosecuted for tax evasion exceeding prescribed limits.","","","",""
"What is the benefit of LUT?","LUT allows export without paying IGST upfront, avoiding blockage of working capital.","","","",""
"What is the validity period of LUT?","LUT is generally valid for one financial year.","","","",""
"Which form is used to file LUT?","LUT is filed in Form GST RFD-11 on the GST portal.","","","",""
"What happens if export conditions under LUT are not met?","Exporter must pay IGST with interest if goods/services are not exported within prescribed time.","","","",""
"What is export with payment of IGST?","Exporter pays IGST on exports and later claims refund of the tax paid.","","","",""
"What is export without payment of IGST?","Exporter exports under LUT/Bond and claims refund of accumulated ITC instead of IGST.","","","",""
"What is the time limit for filing GST refund application?","Refund application must be filed within 2 years from the relevant date.","","","",""
"Which form is used for GST refund application?","Refund application is filed in Form GST RFD-01.","","","",""
"What is the relevant date for export refund?","Relevant date is the date of shipment for goods export or date of payment/ invoice for services export.","","","",""
"What documents are required for export refund?","Documents include invoices, shipping bills, BRC/FIRC, LUT, and GSTR filings.","","","",""
"What is provisional refund in GST?","Provisional refund means 90% refund granted within 7 days for eligible exporters.","","","",""
"Which form is issued for provisional refund sanction?","Provisional refund order is issued in Form GST RFD-04.","","","",""
"What is the final refund order form?","Final refund sanction order is issued in Form GST RFD-06.","","","",""
"What is inverted duty structure refund?","It is refund of unutilized ITC when tax rate on inputs is higher than tax rate on outputs.","","","",""
"Why are GST refunds important for CA professionals?","CAs assist in refund filing, documentation, LUT compliance, and avoiding rejection or delay of refunds.","","","",""
"What is GST registration?","GST registration is the process by which a business becomes a registered taxpayer under GST law.","","","",""
"Who is required to take GST registration?","Any person whose turnover exceeds the threshold limit or falls under compulsory registration must register.","","","",""
"What is the threshold limit for GST registration?","Threshold is generally Rs. 20 lakhs (Rs. 10 lakhs for special category states) for services and Rs. 40 lakhs for goods.","","","",""
"What is compulsory registration under GST?","Certain persons like inter-state suppliers, e-commerce operators, and RCM taxpayers must register regardless of turnover.","","","",""
"Which section governs GST registration?","GST registration is governed under Section 22 and Section 24 of the CGST Act.","","","",""
"What is the GST registration form?","GST registration is applied through Form GST REG-01 on the GST portal.","","","",""
"What documents are required for GST registration?","Documents include PAN, Aadhaar, address proof, bank details, and business constitution proof.","","","",""
"What is GSTIN?","GSTIN is a 15-digit Goods and Services Tax Identification Number issued to registered taxpayers.","","","",""
"What is the structure of GSTIN?","GSTIN includes state code, PAN, entity code, and checksum digit.","","","",""
"What is Aadhaar authentication in GST registration?","Aadhaar authentication is verification of applicant’s identity to speed up registration approval.","","","",""
"What is the time limit for GST registration approval?","Registration is generally approved within 7 working days if documents are complete.","","","",""
"What is Form GST REG-03?","REG-03 is a notice issued by officer seeking clarification or additional documents.","","","",""
"What is Form GST REG-04?","REG-04 is the reply filed by applicant in response to REG-03 notice.","","","",""
"What is Form GST REG-06?","REG-06 is the registration certificate issued after approval.","","","",""
"What is amendment of GST registration?","Amendment means updating registration details like address, business name, partners, or activities.","","","",""
"Which form is used for amendment?","Amendment is filed through Form GST REG-14.","","","",""
"What are core field amendments in GST?","Core fields include business name, address, and key promoters, requiring officer approval.","","","",""
"What are non-core field amendments?","Non-core fields like email and phone number can be updated without officer approval.","","","",""
"What is cancellation of GST registration?","Cancellation means termination of GST registration and stopping GST compliance obligations.","","","",""
"When can GST registration be cancelled by taxpayer?","Taxpayer can cancel if business is closed, transferred, or no longer liable for registration.","","","",""
"When can GST registration be cancelled by department?","Department can cancel for non-filing of returns, fraud, or violation of GST provisions.","","","",""
"Which form is used for cancellation application?","Cancellation is applied through Form GST REG-16.","","","",""
"What is Form GST REG-17?","REG-17 is a show cause notice issued before cancellation by department.","","","",""
"What is Form GST REG-18?","REG-18 is reply submitted by taxpayer against cancellation notice.","","","",""
"Why is GST registration compliance important for CA professionals?","CAs guide clients on registration, amendments, cancellation, and avoiding departmental action.","","","",""
"What is GST demand?","GST demand means tax, interest, or penalty payable by taxpayer due to short payment, non-payment, or wrong ITC claim.","","","",""
"Which sections cover GST demand proceedings?","GST demand proceedings are mainly covered under Sections 73 and 74 of the CGST Act.","","","",""
"What is the difference between Section 73 and Section 74?","Section 73 applies to non-fraud cases, while Section 74 applies to fraud, willful misstatement, or suppression of facts.","","","",""
"What is a Show Cause Notice (SCN) in GST?","SCN is a notice issued by GST department asking taxpayer to explain why demand should not be raised.","","","",""
"When is SCN issued under GST?","SCN is issued when tax is short paid, not paid, wrongly refunded, or ITC wrongly availed.","","","",""
"What is Form GST DRC-01?","DRC-01 is the formal show cause notice for tax demand issued under GST.","","","",""
"What is Form GST DRC-02?","DRC-02 is the statement showing details of tax liability communicated before SCN.","","","",""
"What is Form GST DRC-03?","DRC-03 is used for voluntary payment of tax, interest, or penalty by taxpayer.","","","",""
"Can demand be avoided by voluntary payment?","Yes, taxpayer can pay dues voluntarily before SCN to avoid further proceedings in certain cases.","","","",""
"What is the time limit for issuing SCN under Section 73?","SCN must be issued at least 3 months before the limitation period for passing order, generally within 3 years.","","","",""
"What is the time limit for issuing SCN under Section 74?","SCN must be issued at least 6 months before limitation period, generally within 5 years.","","","",""
"What is the GST demand order form?","Demand order is issued in Form GST DRC-07.","","","",""
"What happens after GST demand order is issued?","Taxpayer must pay demand or file appeal within prescribed time, otherwise recovery starts.","","","",""
"What is GST recovery?","Recovery means enforcement actions taken by department to collect unpaid tax dues.","","","",""
"Which section covers GST recovery?","GST recovery provisions are covered under Section 79 of the CGST Act.","","","",""
"What are methods of GST recovery?","Recovery methods include bank account attachment, property seizure, deduction from refunds, and sale of assets.","","","",""
"Can GST refund be adjusted against demand?","Yes, refund amount can be adjusted against outstanding demand under GST provisions.","","","",""
"What is Form GST DRC-13?","DRC-13 is notice issued to a third party like bank for garnishee proceedings to recover dues.","","","",""
"What is Form GST DRC-22?","DRC-22 is the order for provisional attachment of property or bank account.","","","",""
"What is provisional attachment under GST?","Provisional attachment is temporary attachment of assets to protect government revenue during proceedings.","","","",""
"What is the penalty in fraud cases under Section 74?","Penalty is equal to 100% of tax amount in fraud cases under Section 74.","","","",""
"What is penalty in non-fraud cases under Section 73?","Penalty is generally lower and may be waived if tax is paid before SCN or within specified time.","","","",""
"What is the role of interest in GST demand?","Interest is payable on delayed tax payment even if demand is disputed.","","","",""
"Can taxpayer reply to SCN?","Yes, taxpayer can submit written reply and attend personal hearing before demand order.","","","",""
"Why are GST demand and SCN matters important for CA professionals?","CAs help clients draft replies, handle litigation, reduce tax exposure, and ensure compliance in demand proceedings.","","","",""
"What is GST appeal?","GST appeal is a legal remedy available to taxpayer to challenge GST demand orders or decisions of authorities.","","","",""
"Which section governs GST appeals?","GST appeals are governed under Sections 107 to 121 of the CGST Act.","","","",""
"Who can file an appeal under GST?","Any taxpayer or department aggrieved by an order passed by GST authority can file an appeal.","","","",""
"What is the first appellate authority under GST?","The first appeal lies before the Commissioner (Appeals) under Section 107.","","","",""
"What is the time limit to file first appeal?","Appeal must be filed within 3 months from the date of communication of the order.","","","",""
"Can delay be condoned in GST appeal?","Yes, Commissioner (Appeals) may condone delay up to 1 additional month if sufficient cause exists.","","","",""
"Which form is used to file GST appeal?","First appeal is filed in Form GST APL-01.","","","",""
"What is Form GST APL-02?","APL-02 is the acknowledgment issued after filing appeal.","","","",""
"Is pre-deposit required for GST appeal?","Yes, taxpayer must pay admitted tax plus 10% of disputed tax as pre-deposit.","","","",""
"What happens if pre-deposit is not paid?","Appeal will not be admitted without mandatory pre-deposit payment.","","","",""
"What is stay on recovery during appeal?","Recovery proceedings are stayed automatically to the extent of disputed tax after pre-deposit.","","","",""
"What is GST Appellate Tribunal?","GST Appellate Tribunal is the second appellate forum where appeals against Commissioner (Appeals) orders are filed.","","","",""
"Which section covers GST Appellate Tribunal?","GST Tribunal provisions are covered under Section 109 of the CGST Act.","","","",""
"What is the time limit for tribunal appeal?","Appeal to tribunal must be filed within 3 months from the appellate order.","","","",""
"What is the pre-deposit requirement for tribunal appeal?","Taxpayer must deposit additional 20% of disputed tax besides earlier 10%.","","","",""
"Can department also file appeal?","Yes, department can file appeal against an order if it is not acceptable to revenue authorities.","","","",""
"What is revision under GST?","Revision is power of Commissioner to revise erroneous orders prejudicial to revenue under Section 108.","","","",""
"When can revision be done?","Revision can be done when an order is improper, illegal, or causes loss of revenue.","","","",""
"What is the time limit for revision?","Revision order must generally be passed within 3 years from the original order date.","","","",""
"Can revision be done if appeal is already filed?","No, revision cannot be done for matters already under appeal.","","","",""
"What is appeal to High Court under GST?","Appeal to High Court lies on substantial questions of law against tribunal orders under Section 117.","","","",""
"What is the time limit for High Court appeal?","High Court appeal must be filed within 180 days from tribunal order.","","","",""
"What is appeal to Supreme Court under GST?","Appeal to Supreme Court lies against High Court judgment or tribunal order in specified cases under Section 118.","","","",""
"Can taxpayer withdraw GST appeal?","Yes, appeal can be withdrawn before final hearing subject to procedural rules.","","","",""
"Why are GST appeals important for CA professionals?","CAs support clients in litigation strategy, drafting grounds of appeal, compliance with pre-deposit, and tribunal representation.","","","",""
"What is an E-Way Bill under GST?","E-Way Bill is an electronic document required for movement of goods above prescribed value under GST.","","","",""
"Which rule governs E-Way Bill provisions?","E-Way Bill provisions are governed under Rule 138 of the CGST Rules.","","","",""
"When is E-Way Bill mandatory?","E-Way Bill is mandatory when goods value exceeds Rs. 50,000 for inter-state or specified intra-state movement.","","","",""
"Who is responsible to generate E-Way Bill?","Supplier, recipient, or transporter can generate E-Way Bill depending on who causes movement of goods.","","","",""
"What is the threshold limit for E-Way Bill generation?","The general threshold limit is Rs. 50,000 consignment value.","","","",""
"What is Form GST EWB-01?","EWB-01 is the form used to generate an E-Way Bill on the portal.","","","",""
"What are Part A and Part B of E-Way Bill?","Part A contains invoice details, and Part B contains transporter and vehicle details.","","","",""
"Can E-Way Bill be generated without vehicle number?","Part A can be generated first, but Part B with vehicle details is mandatory before movement.","","","",""
"What is the validity period of E-Way Bill?","Validity depends on distance traveled, generally 1 day for every 200 km or part thereof.","","","",""
"Can E-Way Bill validity be extended?","Yes, validity can be extended in exceptional circumstances before expiry.","","","",""
"What is E-Way Bill cancellation?","Cancellation means invalidating an E-Way Bill if goods are not transported or details are incorrect.","","","",""
"What is the time limit for cancelling E-Way Bill?","E-Way Bill can be cancelled within 24 hours of generation if not verified in transit.","","","",""
"What is consolidated E-Way Bill?","Consolidated E-Way Bill is a single document for multiple consignments transported in one vehicle.","","","",""
"What is Form GST EWB-02?","EWB-02 is used for generating consolidated E-Way Bill.","","","",""
"Is E-Way Bill required for exempt goods?","No, E-Way Bill is not required for goods exempted under GST notification.","","","",""
"Is E-Way Bill required for movement within same state?","It depends on state-specific rules, but generally applies if value exceeds threshold.","","","",""
"What documents must accompany goods during transport?","Invoice or delivery challan and E-Way Bill copy or E-Way Bill number must accompany goods.","","","",""
"What happens if E-Way Bill is not generated?","Goods may be detained, and penalty along with tax may be imposed under GST law.","","","",""
"What is detention of goods under GST?","Detention occurs when goods are stopped during transit for non-compliance like missing E-Way Bill.","","","",""
"Which section covers detention of goods?","Detention and seizure provisions are covered under Section 129 of the CGST Act.","","","",""
